X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1232.07679	-61.35025	100.94064	-0.05262	-1.19905	176.26636	0.60318	-0.99766	0.06510	-0.02094	-0.06510	-0.99788	-0.00045	-0.02093	0.00092	0.99978	
1232.25683	-61.11427	100.43690	0.30315	-1.22289	176.15028	0.35206	-0.99752	0.06725	-0.02094	-0.06712	-0.99772	-0.00671	-0.02134	-0.00529	0.99976	
1232.27831	-61.10178	100.44765	0.31987	-1.13139	176.11481	0.35515	-0.99751	0.06787	-0.01932	-0.06774	-0.99768	-0.00691	-0.01975	-0.00558	0.99979	
1232.24221	-61.32847	100.65771	0.01984	-1.54649	176.06569	0.09224	-0.99728	0.06862	-0.02690	-0.06859	-0.99764	-0.00220	-0.02699	-0.00035	0.99964	
1232.26469	-61.29285	100.67013	0.05554	-1.51798	176.01128	0.11981	-0.99723	0.06959	-0.02636	-0.06954	-0.99758	-0.00281	-0.02649	-0.00097	0.99965	
1232.23744	-61.33107	100.64749	0.05884	-1.54209	176.05632	0.09931	-0.99727	0.06880	-0.02678	-0.06875	-0.99763	-0.00288	-0.02691	-0.00103	0.99964	
1232.23440	-61.32780	100.66565	0.04407	-1.51303	176.07611	0.07745	-0.99731	0.06845	-0.02629	-0.06841	-0.99765	-0.00257	-0.02640	-0.00077	0.99965	
1232.25453	-61.28916	100.67829	0.05668	-1.50243	176.00484	0.11979	-0.99723	0.06970	-0.02609	-0.06965	-0.99757	-0.00281	-0.02622	-0.00099	0.99966	
1231.78063	-61.17808	100.75034	-0.00214	-1.62767	176.06033	0.12827	-0.99723	0.06870	-0.02834	-0.06868	-0.99764	-0.00191	-0.02840	0.00004	0.99960	
1231.77520	-61.15934	100.75688	0.01236	-1.52897	176.02052	0.12470	-0.99723	0.06940	-0.02660	-0.06937	-0.99759	-0.00207	-0.02668	-0.00022	0.99964	
1231.77415	-61.13787	100.76186	0.02633	-1.49407	175.98630	0.13007	-0.99721	0.07001	-0.02598	-0.06997	-0.99755	-0.00228	-0.02607	-0.00046	0.99966	
1231.76374	-61.13056	100.76563	0.02246	-1.49905	176.00943	0.11586	-0.99723	0.06960	-0.02607	-0.06957	-0.99757	-0.00221	-0.02616	-0.00039	0.99966	
