rx, ry, rz, ax, ay, az, qx, qy, qz, qw
0.0000000000, 0.0000000000, 0.000000000, 0.0000000000, 0.0000000000, 0.0000000000, 1.000000000, 0.0000000000, 0.0000000000, 0.000000000
0.0000000000, 0.0000000000, 0.000000000, 0.0000000000, 0.0000000000, 0.0000000000, 1.000000000, 0.0000000000, 0.0000000000, 0.000000000
0.0000000000, 0.0000000000, 0.000000000, 0.0000000000, 0.0000000000, 0.0000000000, 1.000000000, 0.0000000000, 0.0000000000, 0.000000000
0.0000000000, 0.0000000000, 0.000000000, 0.0000000000, 0.0000000000, 0.0000000000, 1.000000000, 0.0000000000, 0.0000000000, 0.000000000
-0.4836421000, 0.0633807400, -0.095925920, -0.1086695000, -0.4415229000, -0.0197717000, -0.890425500, 0.3575234000, -0.0771091600, -1.066810000
-0.4572379000, 0.0543644100, -0.125564900, -0.1074696000, -0.6151248000, 0.0315119400, -0.780435100, -0.5568647000, 0.0776882800, 0.705637200
-0.4572379000, 0.0543644100, -0.125564900, -0.1074696000, -0.6151248000, 0.0315119400, -0.780435100, -0.5568647000, 0.0776882800, 0.705637200
-0.4558197000, 0.0534576100, -0.128324200, -0.1098949000, -0.6271257000, 0.0383125700, -0.770174500, -0.6561096000, 0.4406492000, 0.832909700
-0.4541534000, 0.0524306100, -0.131339100, -0.1134982000, -0.6411901000, 0.0469463800, -0.757489000, -0.6192646000, 0.6087595000, 0.790077900
-0.4541534000, 0.0524306100, -0.131339100, -0.1134982000, -0.6411901000, 0.0469463800, -0.757489000, -0.6192646000, 0.6087595000, 0.790077900
-0.4543819000, 0.0526086100, -0.131372300, -0.1133268000, -0.6409474000, 0.0471376400, -0.757708100, -0.7243984000, 0.7820713000, 0.819975100
-0.4539290000, 0.0523700800, -0.132323700, -0.1145408000, -0.6450484000, 0.0496183500, -0.753877300, -0.7284802000, 0.9235039000, 0.849481900
-0.4539290000, 0.0523700800, -0.132323700, -0.1145408000, -0.6450484000, 0.0496183500, -0.753877300, -0.7284802000, 0.9235039000, 0.849481900
-0.4539899000, 0.0524326900, -0.132295000, -0.1146258000, -0.6452302000, 0.0495920200, -0.753710600, -0.6723247000, 1.0005060000, 0.804844700
-0.4535863000, 0.0523024400, -0.133260500, -0.1158541000, -0.6489127000, 0.0524634300, -0.750158400, -0.7430145000, 1.0162520000, 0.832975000
-0.4535863000, 0.0523024400, -0.133260500, -0.1158541000, -0.6489127000, 0.0524634300, -0.750158400, -0.7430145000, 1.0162520000, 0.832975000
-0.4538667000, 0.0525441200, -0.133248100, -0.1157973000, -0.6488234000, 0.0517834500, -0.750291800, -0.6980183000, 1.2483050000, 0.776832800
-0.4534429000, 0.0524101600, -0.134094100, -0.1169352000, -0.6529046000, 0.0543094200, -0.746386100, -0.6980183000, 1.2483050000, 0.776832800
-0.4534429000, 0.0524101600, -0.134094100, -0.1169352000, -0.6529046000, 0.0543094200, -0.746386100, -0.6980183000, 1.2483050000, 0.776832800
-0.4538819000, 0.0528840100, -0.134134800, -0.1169273000, -0.6522077000, 0.0537626300, -0.747035900, -0.7328298000, 1.2729700000, 0.809962200
-0.4537144000, 0.0530796600, -0.134990700, -0.1181563000, -0.6556297000, 0.0557345300, -0.743695100, -0.6358148000, 1.4236690000, 0.934352400
-0.4537144000, 0.0530796600, -0.134990700, -0.1181563000, -0.6556297000, 0.0557345300, -0.743695100, -0.6358148000, 1.4236690000, 0.934352400
-0.4539133000, 0.0533032800, -0.135041900, -0.1180883000, -0.6553518000, 0.0552758500, -0.743985100, -0.6573718000, 1.4759110000, 0.955299200
-0.4536551000, 0.0534497100, -0.135799800, -0.1192035000, -0.6589476000, 0.0573295700, -0.740467400, -0.6573718000, 1.4759110000, 0.955299200
-0.4536551000, 0.0534497100, -0.135799800, -0.1192035000, -0.6589476000, 0.0573295700, -0.740467400, -0.6573718000, 1.4759110000, 0.955299200
-0.4539924000, 0.0538263500, -0.135922600, -0.1185580000, -0.6584331000, 0.0553181000, -0.741181300, -0.4244547000, 1.5566250000, 0.956846700
-0.4537815000, 0.0540991900, -0.136622200, -0.1194679000, -0.6618574000, 0.0566944400, -0.737874000, -0.4244547000, 1.5566250000, 0.956846700
-0.4537815000, 0.0540991900, -0.136622200, -0.1194679000, -0.6618574000, 0.0566944400, -0.737874000, -0.4244547000, 1.5566250000, 0.956846700
-0.4539721000, 0.0545081900, -0.136596100, -0.1185941000, -0.6612212000, 0.0559682300, -0.738640400, -0.1493489000, 1.6082190000, 1.057005000
-0.4538175000, 0.0549715100, -0.137235900, -0.1188155000, -0.6643038000, 0.0567099300, -0.735776700, -0.2353930000, 1.6834960000, 1.132356000
-0.4538175000, 0.0549715100, -0.137235900, -0.1188155000, -0.6643038000, 0.0567099300, -0.735776700, -0.2353930000, 1.6834960000, 1.132356000
-0.4540185000, 0.0553175500, -0.137265800, -0.1172822000, -0.6636642000, 0.0553401700, -0.736703600, -0.0857342400, 1.6950160000, 1.114966000
-0.4538485000, 0.0559292100, -0.137807400, -0.1168604000, -0.6664598000, 0.0554930400, -0.734231200, -0.0363775200, 1.7564860000, 1.184405000
-0.4538485000, 0.0559292100, -0.137807400, -0.1168604000, -0.6664598000, 0.0554930400, -0.734231200, -0.0363775200, 1.7564860000, 1.184405000
-0.4539317000, 0.0560702000, -0.137799700, -0.1157706000, -0.6662198000, 0.0549191400, -0.734664700, -0.0406093000, 1.6538250000, 1.214595000
-0.4537622000, 0.0567721400, -0.138313900, -0.1147899000, -0.6685888000, 0.0549686500, -0.732660200, -0.0244476200, 1.6641880000, 1.079688000
-0.4537622000, 0.0567721400, -0.138313900, -0.1147899000, -0.6685888000, 0.0549686500, -0.732660200, -0.0244476200, 1.6641880000, 1.079688000
-0.4538487000, 0.0569200500, -0.138308000, -0.1130355000, -0.6681702000, 0.0534838700, -0.733424200, 0.1168060000, 1.3966470000, 1.147765000
-0.4536408000, 0.0577509100, -0.138752400, -0.1115078000, -0.6699136000, 0.0533314900, -0.732077500, 0.0830817900, 1.2961230000, 1.214228000
-0.4536408000, 0.0577509100, -0.138752400, -0.1115078000, -0.6699136000, 0.0533314900, -0.732077500, 0.0830817900, 1.2961230000, 1.214228000
