x, y, z, qx, qy, qz, qw
<<<<<<< Updated upstream
-0.0315000000, -0.0000000005, 0.1150000000, 0.0198982100, 0.0001726335, 0.0211706700, 0.9995778000
-0.0315360500, 0.0000189599, 0.1149925000, 0.0197961000, 0.0002114320, 0.0211717200, 0.9995798000
-0.0315387600, 0.0000238853, 0.1149619000, 0.0198288200, 0.0001220703, 0.0212075900, 0.9995785000
-0.0313955200, 0.0000011761, 0.1148892000, 0.0197874400, 0.0000000000, 0.0212205800, 0.9995790000
-0.0313974200, -0.0000404093, 0.1149268000, 0.0197380600, 0.0001726335, 0.0211917700, 0.9995806000
-0.0313885700, -0.0000703692, 0.1149460000, 0.0197305000, 0.0001726335, 0.0211854400, 0.9995809000
-0.0313681700, -0.0000995270, 0.1149611000, 0.0197229500, 0.0001220703, 0.0211717200, 0.9995813000
-0.0313570500, -0.0001052415, 0.1149631000, 0.0197637100, 0.0001220703, 0.0212033700, 0.9995798000
-0.0313453400, -0.0000478597, 0.1149741000, 0.0198190500, 0.0001726335, 0.0212135600, 0.9995785000
-0.0313275300, -0.0000830791, 0.1149865000, 0.0197444700, 0.0001220703, 0.0211991500, 0.9995803000
-0.0313310300, -0.0000813386, 0.1149912000, 0.0197821700, 0.0001726335, 0.0211903700, 0.9995797000
-0.0313365800, -0.0000729390, 0.1149917000, 0.0197885700, 0.0001726335, 0.0211896600, 0.9995796000
-0.0312760500, -0.0001148205, 0.1150203000, 0.0197346600, 0.0001220703, 0.0212146100, 0.9995801000
-0.0312642800, -0.0000948975, 0.1150129000, 0.0198058800, 0.0001726335, 0.0212219900, 0.9995786000
-0.0312576900, -0.0001201310, 0.1150170000, 0.0197440900, 0.0001220703, 0.0211907200, 0.9995805000
-0.0312668000, -0.0000993113, 0.1150068000, 0.0197964800, 0.0001726335, 0.0211840400, 0.9995795000
-0.0312704300, -0.0000884607, 0.1150048000, 0.0197927100, 0.0001726335, 0.0211868500, 0.9995796000
-0.0312392700, -0.0000798995, 0.1150497000, 0.0197682300, 0.0001220703, 0.0211822800, 0.9995802000
-0.0312287800, -0.0001583389, 0.1150708000, 0.0197021600, 0.0001726335, 0.0211579900, 0.9995820000
-0.0312589900, -0.0001368581, 0.1150513000, 0.0197961000, 0.0002114320, 0.0211766500, 0.9995797000
-0.0309981200, 0.0002154452, 0.1149961000, 0.0199602700, 0.0000000000, 0.0211991500, 0.9995760000
-0.0310989600, 0.0001257132, 0.1149985000, 0.0197863100, 0.0001726335, 0.0211748900, 0.9995800000
-0.0311166600, 0.0001140549, 0.1149992000, 0.0198043800, 0.0001726335, 0.0211910700, 0.9995793000
-0.0311326400, 0.0002451194, 0.1149419000, 0.0199128100, 0.0001726335, 0.0211896600, 0.9995771000
-0.0311818200, 0.0002107733, 0.1149493000, 0.0198111500, 0.0002114320, 0.0211668000, 0.9995796000
-0.0312043800, 0.0002620649, 0.1149263000, 0.0198854700, 0.0002114320, 0.0211935300, 0.9995776000
-0.0312186600, 0.0003757501, 0.1149191000, 0.0199285200, 0.0002114320, 0.0212237400, 0.9995761000
-0.0311937100, 0.0001640506, 0.1149405000, 0.0197384300, 0.0000000000, 0.0211706700, 0.9995810000
-0.0311899100, 0.0002724861, 0.1149256000, 0.0198824800, 0.0001726335, 0.0211495400, 0.9995786000
-0.0311869600, 0.0001587669, 0.1149295000, 0.0197599400, 0.0001220703, 0.0211703100, 0.9995806000
-0.0311996900, 0.0001177772, 0.1149550000, 0.0197580500, 0.0001726335, 0.0211678500, 0.9995807000
-0.0311946200, 0.0002055860, 0.1149325000, 0.0198776100, 0.0001726335, 0.0211755900, 0.9995781000
-0.0312209100, 0.0001742371, 0.1149391000, 0.0197976100, 0.0001726335, 0.0211699600, 0.9995798000
-0.0312194900, 0.0001685421, 0.1149290000, 0.0198250600, 0.0001220703, 0.0211829800, 0.9995791000
-0.0312175500, 0.0001265066, 0.1149343000, 0.0197776500, 0.0001220703, 0.0211724300, 0.9995802000
-0.0312081800, 0.0000988001, 0.1149371000, 0.0197648400, 0.0001220703, 0.0211625700, 0.9995807000
-0.0312152200, 0.0001174480, 0.1149244000, 0.0198310700, 0.0001726335, 0.0211826300, 0.9995790000
-0.0312199300, 0.0000938509, 0.1149288000, 0.0197897000, 0.0001726335, 0.0211826300, 0.9995798000
-0.0312317600, 0.0000786850, 0.1149323000, 0.0197930900, 0.0001726335, 0.0211763000, 0.9995798000
-0.0312306600, 0.0000728010, 0.1149222000, 0.0197949700, 0.0001220703, 0.0211865000, 0.9995795000
-0.0312294400, 0.0000139972, 0.1149302000, 0.0197569200, 0.0001220703, 0.0211759500, 0.9995805000
-0.0312399600, -0.0000023347, 0.1149339000, 0.0197776500, 0.0001726335, 0.0211706700, 0.9995803000
-0.0312370300, -0.0000185126, 0.1149472000, 0.0197625800, 0.0001220703, 0.0211618700, 0.9995807000
-0.0312249500, -0.0000311769, 0.1149409000, 0.0197806600, 0.0001220703, 0.0211555300, 0.9995805000
-0.0312260200, -0.0000365227, 0.1149442000, 0.0197810400, 0.0001726335, 0.0211833300, 0.9995799000
-0.0312274800, -0.0000408422, 0.1149418000, 0.0197791600, 0.0001726335, 0.0211805200, 0.9995800000
-0.0312227700, -0.0000446082, 0.1149377000, 0.0197836800, 0.0001220703, 0.0211759500, 0.9995800000
-0.0311909000, -0.0001273898, 0.1149464000, 0.0197074600, 0.0000000000, 0.0211622200, 0.9995818000
-0.0312040500, -0.0001315557, 0.1149498000, 0.0197742600, 0.0001726335, 0.0211748900, 0.9995802000
-0.0312086100, -0.0000614055, 0.1149471000, 0.0198348300, 0.0001726335, 0.0211671500, 0.9995792000
-0.0312004200, -0.0000656220, 0.1149529000, 0.0197776500, 0.0001220703, 0.0211787600, 0.9995801000
-0.0311983000, -0.0000818139, 0.1149321000, 0.0197682300, 0.0001726335, 0.0211763000, 0.9995803000
-0.0311847400, -0.0000850625, 0.1149189000, 0.0197934700, 0.0001220703, 0.0211463700, 0.9995805000
-0.0312037200, -0.0000444201, 0.1149198000, 0.0198303200, 0.0001726335, 0.0211777000, 0.9995790000
-0.0312041800, -0.0000562456, 0.1149229000, 0.0197810400, 0.0001726335, 0.0211755900, 0.9995800000
-0.0311972300, -0.0000632809, 0.1149312000, 0.0197682300, 0.0001220703, 0.0211773500, 0.9995803000
-0.0312242800, -0.0000598203, 0.1149385000, 0.0197927100, 0.0001726335, 0.0211664400, 0.9995800000
-0.0312110700, -0.0000694009, 0.1149410000, 0.0197686100, 0.0001220703, 0.0211752400, 0.9995803000
-0.0311835600, -0.0000836182, 0.1149526000, 0.0197769000, 0.0001220703, 0.0211484800, 0.9995807000
-0.0312011900, -0.0000658544, 0.1149484000, 0.0198077700, 0.0001726335, 0.0211812200, 0.9995794000
-0.0312073400, -0.0000804973, 0.1149592000, 0.0197659700, 0.0001726335, 0.0211692600, 0.9995805000
-0.0312007600, -0.0000955650, 0.1149844000, 0.0197535300, 0.0001220703, 0.0211731300, 0.9995807000
-0.0312066400, -0.0001012874, 0.1149917000, 0.0197535300, 0.0001726335, 0.0211777000, 0.9995806000
-0.0312166800, -0.0000925823, 0.1149860000, 0.0197870700, 0.0001726335, 0.0211720700, 0.9995800000
-0.0312165100, -0.0001147440, 0.1149949000, 0.0197523900, 0.0001220703, 0.0211717200, 0.9995807000
-0.0312437500, -0.0000935541, 0.1149744000, 0.0198055100, 0.0002114320, 0.0211780600, 0.9995795000
-0.0312240300, -0.0001500875, 0.1149843000, 0.0197184200, 0.0001220703, 0.0211696100, 0.9995815000
-0.0311531600, -0.0001596614, 0.1149604000, 0.0197561700, 0.0001220703, 0.0211625700, 0.9995809000
-0.0311404100, -0.0001681764, 0.1149650000, 0.0197437200, 0.0000000000, 0.0211678500, 0.9995810000
-0.0311639500, -0.0001391292, 0.1149641000, 0.0197957300, 0.0001726335, 0.0211720700, 0.9995798000
-0.0311884300, -0.0001422034, 0.1149646000, 0.0197655900, 0.0001726335, 0.0211734800, 0.9995804000
-0.0311803100, -0.0001606347, 0.1149680000, 0.0197399400, 0.0001220703, 0.0211703100, 0.9995810000
-0.0311784500, -0.0001250888, 0.1149691000, 0.0197870700, 0.0001726335, 0.0211594000, 0.9995803000
-0.0311789400, -0.0000290626, 0.1149406000, 0.0198442200, 0.0001726335, 0.0211812200, 0.9995787000
-0.0311898600, -0.0000368778, 0.1149556000, 0.0197750100, 0.0001726335, 0.0211840400, 0.9995800000
-0.0311959300, -0.0000374833, 0.1149604000, 0.0197806600, 0.0001726335, 0.0211903700, 0.9995798000
-0.0312041400, -0.0000406668, 0.1149597000, 0.0197787800, 0.0001726335, 0.0211798200, 0.9995800000
-0.0311948900, -0.0000772325, 0.1149747000, 0.0197346600, 0.0001220703, 0.0211752400, 0.9995810000
-0.0311928100, -0.0000831397, 0.1149644000, 0.0197727500, 0.0001220703, 0.0211682000, 0.9995804000
-0.0312007800, -0.0000850855, 0.1149683000, 0.0197674800, 0.0001726335, 0.0211840400, 0.9995801000
-0.0312058800, -0.0000699363, 0.1149699000, 0.0197848100, 0.0001726335, 0.0211741800, 0.9995800000
-0.0312151800, -0.0000648886, 0.1149709000, 0.0197893300, 0.0001726335, 0.0211748900, 0.9995799000
-0.0312024200, -0.0001123308, 0.1149796000, 0.0197203100, 0.0001220703, 0.0211738300, 0.9995813000
-0.0312275400, -0.0001105235, 0.1149812000, 0.0197735100, 0.0001726335, 0.0211755900, 0.9995802000
-0.0312321200, -0.0001096523, 0.1149908000, 0.0197746400, 0.0001726335, 0.0211636300, 0.9995804000
